,Time,FSC-A,SSC-A,BL1-A,BL2-A,BL3-A,BL4-A,VL4-A,VL3-A,VL2-A,VL1-A,FSC-H,SSC-H,BL1-H,BL2-H,BL3-H,BL4-H,VL4-H,VL3-H,VL2-H,VL1-H,FSC-W,SSC-W,BL1-W,BL2-W,BL3-W,BL4-W,VL4-W,VL3-W,VL2-W,VL1-W
0,39.0,1048575.0,1048575.0,1048575.0,1048575.0,727107.0,76950.0,253835.0,1048575.0,1048575.0,15417.0,44483.0,79585.0,1048575.0,1019600.0,12749.0,1411.0,5502.0,60420.0,804725.0,630.0,1023.0,1023.0,1023.0,1023.0,1023.0,357.0,1023.0,1023.0,1023.0,0.0
1,52.0,75839.0,144591.0,1048575.0,1048575.0,30828.0,3465.0,10951.0,140425.0,1048575.0,-418.0,37688.0,63208.0,1048575.0,1010922.0,11745.0,1313.0,4699.0,57026.0,782480.0,376.0,408.0,332.0,1023.0,1023.0,98.0,12.0,61.0,325.0,938.0,0.0
2,78.0,86835.0,156051.0,1048575.0,1048575.0,34856.0,3501.0,10591.0,141808.0,1048575.0,2303.0,35798.0,70527.0,1048575.0,1023060.0,12720.0,1411.0,4751.0,58683.0,787188.0,628.0,623.0,341.0,1023.0,1023.0,105.0,30.0,62.0,312.0,986.0,0.0
3,94.0,42964.0,108114.0,1048575.0,1048575.0,29129.0,3065.0,9736.0,135956.0,1048575.0,689.0,28746.0,94815.0,1048575.0,1047336.0,22150.0,2411.0,7778.0,109949.0,1020539.0,369.0,302.0,211.0,776.0,638.0,74.0,24.0,38.0,244.0,676.0,0.0
4,107.0,-65536.0,153168.0,1048575.0,1048575.0,31782.0,3582.0,12049.0,139214.0,1048575.0,3106.0,38545.0,66984.0,1048575.0,1012428.0,11961.0,1379.0,5013.0,55793.0,742020.0,506.0,492.0,346.0,1023.0,1023.0,104.0,22.0,65.0,321.0,940.0,0.0
5,119.0,33199.0,70668.0,1048575.0,1048575.0,14914.0,1968.0,5365.0,65118.0,863812.0,1911.0,37368.0,61527.0,1048575.0,992610.0,11165.0,1325.0,4387.0,53028.0,718125.0,579.0,166.0,168.0,695.0,559.0,47.0,14.0,29.0,151.0,453.0,0.0
6,123.0,11493.0,71166.0,1048575.0,1048575.0,13595.0,2089.0,5871.0,66740.0,859967.0,1803.0,31617.0,62750.0,1048575.0,995006.0,10130.0,1319.0,4826.0,54814.0,716277.0,766.0,158.0,161.0,706.0,573.0,47.0,14.0,30.0,149.0,450.0,0.0
7,138.0,122803.0,226439.0,1048575.0,1048575.0,47408.0,4943.0,18570.0,211705.0,1048575.0,299.0,38030.0,66360.0,1048575.0,1007839.0,12447.0,1383.0,5240.0,57491.0,777987.0,681.0,733.0,507.0,1023.0,1023.0,153.0,37.0,94.0,502.0,1023.0,0.0
8,226.0,-35642.0,522237.0,1048575.0,1048575.0,113286.0,11599.0,39285.0,471741.0,1048575.0,1876.0,41661.0,66835.0,1048575.0,1013134.0,12262.0,1380.0,5021.0,57848.0,765229.0,669.0,1023.0,1023.0,1023.0,1023.0,356.0,77.0,212.0,1023.0,1023.0,0.0
9,265.0,40928.0,155085.0,1048575.0,1048575.0,33192.0,3509.0,12239.0,141002.0,1048575.0,1905.0,23322.0,67942.0,1048575.0,1016214.0,12027.0,1429.0,5060.0,58070.0,770538.0,519.0,384.0,359.0,1023.0,1023.0,103.0,27.0,62.0,319.0,983.0,0.0
10,271.0,15916.0,81502.0,1048575.0,1048575.0,17213.0,1788.0,5727.0,68766.0,912986.0,-1198.0,19790.0,69656.0,1048575.0,1008694.0,11700.0,1126.0,5029.0,55239.0,743544.0,424.0,237.0,173.0,710.0,594.0,53.0,10.0,31.0,159.0,459.0,0.0
11,298.0,89940.0,224863.0,1048575.0,1048575.0,50360.0,5714.0,17408.0,216082.0,1048575.0,-465.0,39788.0,68760.0,1048575.0,1022320.0,13865.0,1369.0,5076.0,60572.0,816255.0,603.0,594.0,494.0,1023.0,1023.0,158.0,40.0,92.0,499.0,1023.0,0.0
12,349.0,39921.0,265135.0,1048575.0,1048575.0,42542.0,5293.0,14514.0,179899.0,1048575.0,-1128.0,22682.0,92079.0,1048575.0,1018154.0,12541.0,1429.0,4743.0,57448.0,783088.0,431.0,469.0,565.0,1023.0,1023.0,145.0,30.0,81.0,413.0,1023.0,0.0
13,377.0,24748.0,74255.0,1048575.0,1048575.0,15317.0,2045.0,4690.0,62510.0,839276.0,652.0,18472.0,65098.0,1048575.0,1000831.0,11796.0,1097.0,4011.0,51329.0,694185.0,363.0,215.0,164.0,702.0,582.0,47.0,10.0,29.0,144.0,479.0,0.0
14,380.0,19804.0,81615.0,1048575.0,1048575.0,16267.0,1595.0,6035.0,71502.0,959868.0,-459.0,19816.0,69809.0,1048575.0,1019260.0,12000.0,1039.0,4876.0,59316.0,800977.0,468.0,162.0,176.0,740.0,579.0,55.0,6.0,30.0,157.0,500.0,0.0
15,384.0,10740.0,75716.0,1048575.0,1048575.0,17185.0,1799.0,5122.0,74280.0,970725.0,-40.0,21214.0,66408.0,1048575.0,1015211.0,12368.0,1385.0,4520.0,59903.0,792667.0,372.0,127.0,163.0,711.0,608.0,51.0,18.0,31.0,174.0,491.0,0.0
16,390.0,41415.0,73239.0,1048575.0,1048575.0,15845.0,1692.0,5402.0,68606.0,911001.0,589.0,35103.0,63303.0,1048575.0,1003997.0,11038.0,1178.0,4418.0,55546.0,736125.0,315.0,220.0,177.0,711.0,573.0,56.0,12.0,31.0,154.0,476.0,0.0
17,404.0,154328.0,174643.0,1048575.0,1048575.0,87264.0,8648.0,33074.0,408070.0,1048575.0,1148.0,147123.0,149413.0,1048575.0,1048575.0,64442.0,6175.0,26840.0,328860.0,1048575.0,627.0,264.0,263.0,820.0,779.0,195.0,42.0,73.0,360.0,724.0,0.0
18,407.0,40076.0,76196.0,1048575.0,1048575.0,17372.0,1622.0,6144.0,66059.0,892016.0,-332.0,25683.0,65702.0,1048575.0,1007244.0,12905.0,1238.0,4932.0,53958.0,740457.0,398.0,279.0,181.0,714.0,599.0,54.0,14.0,32.0,148.0,488.0,0.0
19,413.0,76804.0,158164.0,1048575.0,1048575.0,31488.0,3077.0,11043.0,126631.0,1048575.0,-1918.0,27958.0,69061.0,1048575.0,1014793.0,11820.0,1202.0,4653.0,58800.0,765350.0,374.0,616.0,369.0,1023.0,1023.0,101.0,15.0,61.0,301.0,944.0,0.0
20,529.0,328263.0,619138.0,1048575.0,1048575.0,119111.0,11773.0,39434.0,509165.0,1048575.0,5763.0,37497.0,73044.0,1048575.0,1014835.0,12346.0,1321.0,5003.0,58613.0,786555.0,533.0,1023.0,1023.0,1023.0,1023.0,391.0,66.0,226.0,1023.0,1023.0,0.0
