,Time,FSC-A,SSC-A,BL1-A,BL2-A,BL3-A,BL4-A,VL4-A,VL3-A,VL2-A,VL1-A,FSC-H,SSC-H,BL1-H,BL2-H,BL3-H,BL4-H,VL4-H,VL3-H,VL2-H,VL1-H,FSC-W,SSC-W,BL1-W,BL2-W,BL3-W,BL4-W,VL4-W,VL3-W,VL2-W,VL1-W
0,89.0,-65536.0,77476.0,1048575.0,1048575.0,20227.0,2964.0,10253.0,89557.0,841727.0,2282.0,14606.0,14537.0,693925.0,247986.0,3225.0,485.0,1959.0,14821.0,143479.0,504.0,1023.0,222.0,1023.0,1023.0,149.0,0.0,84.0,224.0,1023.0,0.0
1,89.0,42827.0,15258.0,822541.0,295819.0,4417.0,617.0,1879.0,17078.0,169568.0,1244.0,14659.0,13608.0,649128.0,224076.0,3025.0,404.0,1514.0,13479.0,140308.0,360.0,377.0,43.0,488.0,355.0,30.0,0.0,16.0,43.0,259.0,0.0
2,106.0,-3269.0,227.0,1902.0,777.0,21.0,-6.0,35.0,61.0,237.0,122.0,634.0,142.0,1792.0,865.0,44.0,55.0,76.0,90.0,390.0,330.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,106.0,26732.0,44836.0,1048575.0,1048575.0,17898.0,1938.0,8916.0,76618.0,708954.0,896.0,29278.0,40153.0,1048575.0,961914.0,12293.0,1508.0,6862.0,64442.0,595827.0,341.0,226.0,117.0,702.0,583.0,54.0,18.0,34.0,175.0,437.0,0.0
4,121.0,186206.0,64145.0,881832.0,323261.0,4642.0,378.0,4741.0,23194.0,180548.0,6436.0,166527.0,45601.0,701636.0,248833.0,2814.0,406.0,2001.0,14780.0,142326.0,6914.0,244.0,117.0,504.0,374.0,29.0,0.0,40.0,80.0,306.0,37.0
5,126.0,22933.0,17496.0,908168.0,331646.0,4736.0,718.0,2178.0,18441.0,172186.0,-1004.0,12788.0,14506.0,691244.0,240757.0,3176.0,417.0,1502.0,15013.0,141510.0,330.0,199.0,49.0,538.0,370.0,32.0,0.0,16.0,44.0,262.0,0.0
6,187.0,93957.0,94320.0,1048575.0,1048575.0,23045.0,2990.0,11433.0,106837.0,996490.0,492.0,15269.0,14540.0,684954.0,241053.0,3302.0,521.0,1786.0,15886.0,143568.0,473.0,1023.0,263.0,1023.0,1023.0,172.0,0.0,94.0,267.0,1023.0,0.0
7,235.0,72295.0,77378.0,1048575.0,1048575.0,19536.0,2025.0,10366.0,90778.0,834798.0,1314.0,13707.0,14763.0,681113.0,238654.0,2885.0,414.0,1922.0,15471.0,144577.0,506.0,1023.0,220.0,1023.0,1023.0,149.0,0.0,83.0,220.0,1023.0,0.0
8,235.0,4428.0,17181.0,883426.0,322189.0,4134.0,655.0,2375.0,19028.0,175987.0,-27.0,12651.0,14576.0,690684.0,242380.0,2807.0,643.0,1980.0,15534.0,145225.0,345.0,85.0,49.0,509.0,363.0,30.0,0.0,18.0,47.0,272.0,0.0
9,293.0,9946.0,138892.0,1048575.0,1048575.0,36491.0,3998.0,17336.0,156650.0,1048575.0,-2896.0,14490.0,14343.0,684364.0,241180.0,3112.0,462.0,1782.0,15172.0,141417.0,392.0,1023.0,393.0,1023.0,1023.0,270.0,0.0,144.0,398.0,1023.0,0.0
10,293.0,24388.0,16514.0,886567.0,324817.0,4632.0,431.0,1867.0,18843.0,174807.0,-376.0,13155.0,14641.0,687966.0,241684.0,3069.0,319.0,1643.0,15463.0,143449.0,302.0,218.0,46.0,506.0,360.0,33.0,0.0,14.0,46.0,266.0,0.0
11,376.0,86499.0,113681.0,1048575.0,1048575.0,28671.0,4551.0,14538.0,125358.0,1048575.0,3826.0,16061.0,14931.0,689637.0,248551.0,3188.0,452.0,1864.0,15723.0,147020.0,451.0,1023.0,316.0,1023.0,1023.0,208.0,0.0,117.0,321.0,1023.0,0.0
12,453.0,168103.0,112296.0,1048575.0,1048575.0,28325.0,4146.0,14162.0,127844.0,1048575.0,-4184.0,15284.0,14593.0,702947.0,248890.0,3141.0,409.0,2165.0,15462.0,145535.0,405.0,1023.0,309.0,1023.0,1023.0,208.0,0.0,120.0,314.0,1023.0,0.0
13,479.0,-1444.0,30879.0,1048575.0,586229.0,7600.0,1071.0,3721.0,33584.0,329085.0,-2888.0,12686.0,13599.0,666899.0,230228.0,2733.0,361.0,1787.0,14952.0,139272.0,321.0,297.0,87.0,987.0,698.0,59.0,0.0,32.0,85.0,520.0,0.0
14,526.0,40667.0,47982.0,1048575.0,908900.0,12781.0,1441.0,5483.0,53842.0,492349.0,-976.0,16108.0,14248.0,669818.0,237495.0,3370.0,392.0,1585.0,15202.0,138858.0,449.0,490.0,133.0,1023.0,1023.0,97.0,0.0,45.0,131.0,792.0,0.0
15,527.0,1145.0,49.0,378.0,389.0,-43.0,16.0,-2.0,119.0,258.0,51.0,1858.0,163.0,343.0,553.0,57.0,61.0,45.0,142.0,211.0,252.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,527.0,28352.0,16904.0,880632.0,319472.0,3865.0,386.0,1711.0,17928.0,173974.0,-519.0,13076.0,14250.0,690241.0,243113.0,2975.0,238.0,1504.0,14599.0,142989.0,259.0,251.0,47.0,511.0,385.0,30.0,0.0,15.0,45.0,272.0,0.0
17,541.0,21714.0,16687.0,841112.0,309098.0,3829.0,666.0,1749.0,17881.0,164741.0,-110.0,13343.0,14337.0,666641.0,237024.0,2646.0,387.0,1550.0,14711.0,138297.0,381.0,169.0,44.0,504.0,361.0,31.0,0.0,16.0,46.0,260.0,0.0
18,568.0,33207.0,32620.0,1048575.0,639569.0,7871.0,1466.0,3916.0,35291.0,337697.0,-1113.0,13047.0,15097.0,691523.0,244754.0,3030.0,466.0,1763.0,14615.0,144625.0,501.0,377.0,90.0,1007.0,697.0,62.0,0.0,36.0,88.0,527.0,0.0
19,568.0,21019.0,14576.0,809265.0,296568.0,3342.0,500.0,2124.0,17213.0,166990.0,-18.0,13054.0,13137.0,646237.0,227965.0,2261.0,455.0,1551.0,13903.0,138934.0,383.0,173.0,44.0,485.0,353.0,28.0,0.0,18.0,43.0,259.0,0.0
20,590.0,35132.0,47797.0,1048575.0,928783.0,11867.0,1777.0,7169.0,55158.0,511819.0,490.0,13507.0,14029.0,672012.0,244113.0,2897.0,407.0,2113.0,15202.0,143754.0,401.0,414.0,133.0,1023.0,1023.0,90.0,0.0,55.0,135.0,809.0,0.0
21,659.0,-50542.0,62917.0,1048575.0,1048575.0,18609.0,1551.0,7470.0,69434.0,642995.0,-621.0,14631.0,14451.0,686069.0,239578.0,3216.0,394.0,2393.0,15477.0,142492.0,406.0,564.0,176.0,1023.0,1023.0,132.0,0.0,61.0,174.0,1023.0,0.0
22,745.0,111328.0,75844.0,1048575.0,1048575.0,19318.0,1457.0,10630.0,88984.0,825580.0,-2140.0,15532.0,14685.0,689394.0,242865.0,2965.0,493.0,2015.0,15393.0,143455.0,399.0,992.0,219.0,1023.0,1023.0,149.0,0.0,77.0,215.0,1023.0,0.0
23,745.0,15631.0,16581.0,864471.0,313869.0,4407.0,831.0,2766.0,18272.0,168194.0,-1472.0,13178.0,14324.0,676100.0,235357.0,2641.0,262.0,1785.0,14512.0,137366.0,306.0,127.0,47.0,510.0,348.0,30.0,0.0,18.0,45.0,278.0,0.0
24,773.0,42663.0,50693.0,1048575.0,956833.0,12402.0,1482.0,6019.0,53565.0,522244.0,3064.0,13218.0,15093.0,686912.0,245216.0,2940.0,422.0,1981.0,14524.0,147276.0,385.0,473.0,140.0,1023.0,1023.0,92.0,0.0,52.0,135.0,831.0,0.0
25,885.0,156852.0,146429.0,1048575.0,1048575.0,38084.0,4247.0,17053.0,161135.0,1048575.0,-804.0,13757.0,14495.0,689389.0,246704.0,3529.0,405.0,1722.0,15438.0,143947.0,467.0,1023.0,401.0,1023.0,1023.0,270.0,0.0,140.0,402.0,1023.0,0.0
26,942.0,243897.0,128658.0,1048575.0,1048575.0,34026.0,3911.0,15192.0,144076.0,1048575.0,-1342.0,17830.0,14707.0,694144.0,247465.0,3206.0,521.0,1957.0,15479.0,144138.0,413.0,1023.0,359.0,1023.0,1023.0,244.0,0.0,130.0,364.0,1023.0,0.0
27,975.0,92264.0,66600.0,1048575.0,1048575.0,17154.0,1984.0,9614.0,73437.0,689295.0,-2355.0,14757.0,14724.0,707690.0,249555.0,2921.0,425.0,2157.0,15903.0,146759.0,458.0,864.0,183.0,1023.0,1023.0,126.0,0.0,69.0,185.0,1023.0,0.0
28,981.0,20304.0,32587.0,1048575.0,618482.0,8046.0,633.0,3993.0,36490.0,347551.0,-3487.0,12725.0,14352.0,667602.0,236339.0,2895.0,362.0,1660.0,15351.0,150420.0,371.0,299.0,91.0,983.0,707.0,62.0,0.0,34.0,89.0,533.0,0.0
29,1220.0,264050.0,255848.0,1048575.0,1048575.0,68343.0,6188.0,31772.0,291083.0,1048575.0,1152.0,15046.0,14702.0,688371.0,242448.0,3682.0,474.0,1974.0,15789.0,144406.0,547.0,1023.0,726.0,1023.0,1023.0,490.0,0.0,258.0,711.0,1023.0,0.0
30,1376.0,55500.0,245626.0,1048575.0,1048575.0,62855.0,8903.0,30321.0,272120.0,1048575.0,6292.0,16437.0,15488.0,715759.0,250195.0,3385.0,561.0,2243.0,16387.0,149215.0,511.0,1023.0,677.0,1023.0,1023.0,452.0,0.0,246.0,673.0,1023.0,0.0
